Index,No,movie,week_at_Top10,hours_seen,duration,views
2,3,Knives Out,1,16760000,00:00:00,0
3,4,White Noise,1,14750000,00:00:00,0
4,5,The Invitation,1,12200000,00:00:00,0
5,6,Guillermo del Toro’s Pinocchio,4,10910000,00:00:00,0
6,7,Trolls,2,9980000,00:00:00,0
7,8,After Ever Happy,1,7220000,00:00:00,0
8,9,How the Grinch Stole Christmas,3,7190000,00:00:00,0
9,10,Bullet Train,5,6940000,00:00:00,0
0,1,Glass Onion: A Knives Out Mystery,1,82140000,00:00:00,0
1,2,The Volcano: Rescue from Whakaari,2,25110000,00:00:00,0
2,3,Guillermo del Toro’s Pinocchio,3,19680000,00:00:00,0
3,4,How the Grinch Stole Christmas,2,12680000,00:00:00,0
4,5,A Bad Moms Christmas,1,10890000,00:00:00,0
5,6,I Believe in Santa,2,10090000,00:00:00,0
6,7,The Christmas Chronicles,5,9840000,00:00:00,0
7,8,Falling for Christmas,6,7910000,00:00:00,0
8,9,Bullet Train,4,7250000,00:00:00,0
9,10,The Christmas Chronicles: Part Two,4,7170000,00:00:00,0
0,1,Guillermo del Toro’s Pinocchio,2,39380000,00:00:00,0
1,2,I Believe in Santa,1,19960000,00:00:00,0
2,3,Prisoners,1,19000000,00:00:00,0
3,4,Bullet Train,3,13530000,00:00:00,0
4,5,Lady Chatterley's Lover,3,11090000,00:00:00,0
5,6,The Volcano: Rescue from Whakaari,1,8940000,00:00:00,0
6,7,How the Grinch Stole Christmas,1,7530000,00:00:00,0
7,8,Falling for Christmas,5,6400000,00:00:00,0
8,9,Scrooge: A Christmas Carol,3,5680000,00:00:00,0
9,10,The Noel Diary,4,5560000,00:00:00,0
0,1,Lady Chatterley's Lover,2,29030000,00:00:00,0
1,2,Guillermo del Toro’s Pinocchio,1,28080000,00:00:00,0
2,3,Bullet Train,2,24620000,00:00:00,0
3,4,Scrooge: A Christmas Carol,2,13050000,00:00:00,0
4,5,The Swimmers,3,11720000,00:00:00,0
5,6,The Noel Diary,3,11580000,00:00:00,0
6,7,The Boss Baby: Christmas Bonus,1,10400000,00:00:00,0
7,8,Slumberland,4,10380000,00:00:00,0
8,9,A Christmas Miracle for Daisy,1,9780000,00:00:00,0
9,10,Emily the Criminal,1,9590000,00:00:00,0
0,1,The Noel Diary,2,27630000,00:00:00,0
1,2,The Swimmers,2,27040000,00:00:00,0
2,3,Lady Chatterley's Lover,1,20000000,00:00:00,0
3,4,Slumberland,3,17830000,00:00:00,0
4,5,Bullet Train,1,11320000,00:00:00,0
5,6,Christmas on Mistletoe Farm,2,11110000,00:00:00,0
6,7,Falling for Christmas,4,9080000,00:00:00,0
7,8,Angel Falls Christmas,1,8820000,00:00:00,0
8,9,Scrooge: A Christmas Carol,1,8170000,00:00:00,0
9,10,Ghislaine Maxwell: Filthy Rich,2,7610000,00:00:00,0
0,1,Slumberland,2,45430000,00:00:00,0
1,2,The Noel Diary,1,36270000,00:00:00,0
2,3,The Swimmers,1,22480000,00:00:00,0
3,4,The Wonder,2,16860000,00:00:00,0
4,5,Falling for Christmas,3,14980000,00:00:00,0
5,6,Christmas with You,2,13800000,00:00:00,0
6,7,Christmas on Mistletoe Farm,1,13470000,00:00:00,0
7,8,Enola Holmes 2,4,9670000,00:00:00,0
8,9,Where the Crawdads Sing,3,9640000,00:00:00,0
9,10,Ghislaine Maxwell: Filthy Rich,1,7290000,00:00:00,0
0,1,Falling for Christmas,2,37850000,00:00:00,0
1,2,Slumberland,1,33370000,00:00:00,0
2,3,The Wonder,1,26180000,00:00:00,0
3,4,Enola Holmes 2,3,21420000,00:00:00,0
4,5,Where the Crawdads Sing,2,20330000,00:00:00,0
5,6,Christmas with You,1,17930000,00:00:00,0
6,7,Minions & More Volume 2,2,10500000,00:00:00,0
7,8,The Good Nurse,4,8800000,00:00:00,0
8,9,Enola Holmes,3,7610000,00:00:00,0
9,10,I Am Vanessa Guillen,1,7500000,00:00:00,0
0,1,Enola Holmes 2,2,62860000,00:00:00,0
1,2,Falling for Christmas,1,48360000,00:00:00,0
2,3,Enola Holmes,2,18650000,00:00:00,0
3,4,Medieval,1,18230000,00:00:00,0
4,5,The Good Nurse,3,15060000,00:00:00,0
5,6,Minions & More Volume 2,1,13510000,00:00:00,0
6,7,The Bad Guys,2,12190000,00:00:00,0
7,8,Where the Crawdads Sing,1,10830000,00:00:00,0
8,9,The School for Good and Evil,4,8850000,00:00:00,0
9,10,Hotel Transylvania 2,2,7920000,00:00:00,0
0,1,Enola Holmes 2,1,64080000,00:00:00,0
1,2,The Good Nurse,2,36780000,00:00:00,0
2,3,The School for Good and Evil,3,19030000,00:00:00,0
3,4,War,1,16760000,00:00:00,0
4,5,Wild Is the Wind,2,16390000,00:00:00,0
5,6,The Bad Guys,1,15910000,00:00:00,0
6,7,Hotel Transylvania 2,1,10370000,00:00:00,0
7,8,Enola Holmes,1,9640000,00:00:00,0
8,9,Oblivion,1,5860000,00:00:00,0
9,10,The Curse of Bridge Hollow,4,5030000,00:00:00,0
0,1,The Good Nurse,1,68310000,00:00:00,0
1,2,The School for Good and Evil,2,41950000,00:00:00,0
2,3,The Stranger,2,9170000,00:00:00,0
3,4,Wild Is the Wind,1,8890000,00:00:00,0
4,5,The Curse of Bridge Hollow,3,8170000,00:00:00,0
5,6,Luckiest Girl Alive,4,8020000,00:00:00,0
6,7,Sing,4,5420000,00:00:00,0
7,8,The Boss Baby,4,4210000,00:00:00,0
8,9,Hubie Halloween,1,3960000,00:00:00,0
9,10,Blade of the 47 Ronin,1,3940000,00:00:00,0
0,1,The School for Good and Evil,1,78830000,00:00:00,0
1,2,The Curse of Bridge Hollow,2,25340000,00:00:00,0
2,3,Luckiest Girl Alive,3,19300000,00:00:00,0
3,4,The Stranger,1,17040000,00:00:00,0
4,5,Blackout,2,12120000,00:00:00,0
5,6,Black and Blue,2,9200000,00:00:00,0
6,7,Sing,3,7300000,00:00:00,0
7,8,Mr. Harrigan's Phone,3,5770000,00:00:00,0
8,9,The Boss Baby,3,5190000,00:00:00,0
9,10,Charlie's Angels,1,4920000,00:00:00,0
0,1,Luckiest Girl Alive,2,57010000,00:00:00,0
1,2,The Curse of Bridge Hollow,1,25120000,00:00:00,0
2,3,Blackout,1,21090000,00:00:00,0
3,4,Mr. Harrigan's Phone,2,20080000,00:00:00,0
4,5,Sing,2,12310000,00:00:00,0
5,6,The Redeem Team,2,10290000,00:00:00,0
6,7,The Boss Baby,2,7390000,00:00:00,0
7,8,Running with the Devil,1,6160000,00:00:00,0
8,9,Blonde,3,6090000,00:00:00,0
9,10,Black and Blue,1,5600000,00:00:00,0
0,1,Luckiest Girl Alive,1,43080000,00:00:00,0
1,2,Mr. Harrigan's Phone,1,35420000,00:00:00,0
