No,movie,week_at_Top10,hours_seen,duration,views
9,A Perfect Pairing,5,4440000,,
10,Senior Year,6,4200000,,
1,Hustle,1,84580000,,
2,Interceptor,2,40700000,,
3,Chickenhare and the Hamster of Darkness,1,9820000,,
4,The Amazing Spider-Man,2,8440000,,
5,Senior Year,5,7220000,,
6,A Perfect Pairing,4,7130000,,
7,Mission: Impossible - Ghost Protocol,1,6550000,,
8,Rambo: Last Blood,1,6530000,,
9,Deep Impact,1,6260000,,
10,Sonic the Hedgehog,7,5510000,,
1,Interceptor,1,35600000,,
2,A Perfect Pairing,3,14410000,,
3,The Amazing Spider-Man,1,13500000,,
4,Senior Year,4,13260000,,
5,Memoirs of a Geisha,1,10200000,,
6,The Outpost,1,10120000,,
7,Disappearance at Clifton Hill,1,8670000,,
8,Sonic the Hedgehog,6,6500000,,
9,Jack Reacher,1,5370000,,
